name|price|description|category|rating|source
CANON PG-575XL (Schwarz, 1 Stück)|31.7|Diese schwarze original Canon Tinte sorgt bei jedem Druck für gestochen scharfen Text|Computer & Gaming||interdiscount
CANON CLI-581XXL (Cyan, 1 Stück)|29.95|Die CANON CLI-581XXL Tintenpatrone überzeugt nicht nur durch Ihre lange Ergiebigkeit, sondern auch mit ihren qualitativ sehr hochwertigen Druckergebnissen.Durch die große Tankgröße der CANON CLI-581XXL von 11,7ml drucken Sie damit nicht nur 3,2-mal mehr Seiten als mit einer Standard Tintenpatrone, Sie vermeiden auch lästige Wartezeiten in Druckstudios. Auch für Fotodruck eignet sich diese Tintenpatrone hervorragend. Um die Entsorgung der recyclebaren Patronen kümmert sich selbstverständlich CANON. Überzeugen Sie sich selbst von der Druckqualität der CANON CLI-581XXL.|Computer & Gaming||interdiscount
CANON CLI-36 (Gelb, Schwarz, Magenta, Cyan, 1 Stück)|20.95|Dieser Farbtintentank enthält die Farben Cyan, Magenta, Gelb und Schwarz und wird zum Druck von Farbdokumenten und Fotos verwendet. In Kombination mit Canon Fotopapier sind Ihre Fotos dank dem ChromaLife100 System vor Verblassen geschützt. Mit dem 12 ml fassenden Tintentank können bis zu 249 Seiten im A4-Format gedruckt werden.|Computer & Gaming||interdiscount
CANON PGI-570PGBK XL (Schwarz, 1 Stück)|29.95|Mit der CANON PGI 570PGBK XL Tintenpatrone sind jegliche Schwierigkeiten aus dem Weg geräumt, wodurch das Drucken auf eine neue Stufe gehoben wird.Mit der schwarzen CANON Tintenpatrone wird das Drucken zu einem wahren Erlebnis, denn Sie brauchen sich keine Sorgen mehr zu machen, ob die Qualität gut oder schlecht ist. Auch das ständige Eintrocknen und Austauschen der Patronen hat mit den CANON Patronen ein Ende. CANON garantiert einen hochwertigen Druck, eine hohe Farbqualität und eine hohe Kapazität für Ihre Photos und Ihre wichtigen Dokumente. Lassen Sie sich von der Qualität begeistern.|Computer & Gaming||interdiscount
CANON CLI-581XXL (Gelb, Schwarz, Magenta, Cyan, Multipack)|89.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON CLI-581XXL (Magenta, 1 Stück)|29.95|Mit der CANON CLI-581XXL Patrone in Magenta (1 Stück) lässt sich bares Geld beim Drucken sparen.Die Tintenpatrone hat einen Inhalt von 11.7 ml. Das Produkt gewährleistet jedoch einen extrem sparsamen Druck, so dass man damit mehr als dreimal so viele Seiten drucken kann wie mit einer gewöhnlichen Patrone. Die CANON CLI-581XXL ist extrem ergiebig und reicht für 800 Seiten Druck aus. Und dabei wirkt sich die sparsame Anwendung keinesfalls auf die Qualität des Drucks aus. Ganz im Gegenteil: Die Patrone sorgt für eine kräftige Farbe auf Ihren Unterlagen, die sich einwandfrei erkennen lässt.|Computer & Gaming||interdiscount
CANON PGI-1500XL (Gelb, Schwarz, Magenta, Cyan, Multipack)|79.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PIXMA MG3650S (Tintendrucker, Farbe, WLAN)|79.95|Dieses kompakte und preisgünstige Multifunktionssystem liefert erstklassige Randlosfotos und gestochen scharfe Dokumente. Es verbindet sich nahtlos mit der Cloud und Mobilgeräten und die optional erhältlichen XL-Tinten sowie der automatische beidseitige Druck sparen Geld und Zeit. Drucke detailreiche randlose Fotos in Formaten von 10 x 15 cm bis zu DIN A4 und gestochen scharfe Textdokumente in bester Qualität. Direkt vom kompatiblen Smartphone oder Tablet drucken, kopieren und scannen und mit Pixma Cloud Link auf die Cloud zugreifen – alles über die Canon Print App. Ganz einfach Dokumente aus einer Cloud wie GoogleDrive, OneDrive oder Dropbox drucken oder dahin scannen. Eingescannte Dateien können direkt per E-Mail versendet werden – ganz ohne PC.|Computer & Gaming||interdiscount
CANON PG-585XL (Schwarz, 1 Stück)|29.95|to PIXMA TS-Serie 10.3ml|Computer & Gaming||interdiscount
CANON CL-561 (Gelb, Magenta, Cyan, 1 Stück)|34.95|Der FINE Druckkopf mit Cyan, Magenta und Gelb Tinte für farbstabile, lebendige Fotodrucke|Computer & Gaming||interdiscount
CANON PGI-1500 (Gelb, Schwarz, Magenta, Cyan, Multipack)|51.9|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PGI-580 (Schwarz, 1 Stück)|24.95|Diese 11,2 ml schwarze Pigmenttinte wird zum Druck von hochwertigen Dokumenten auf Normalpapier verwendet und sorgt für ein gestochen scharfes Schriftbild.|Computer & Gaming||interdiscount
